,6RZ5_lig-to-AF_6RZ4,6RZ4_lig-to-AF_6RZ4
0,19.195138183475,15.973851881638119
1,18.800487277835934,9.241181473888288
2,18.654789250494538,10.704642881891518
3,18.65249736460806,15.94568928507118
4,18.200807351784228,18.576782694894252
5,18.100738594814874,18.20373023796498
6,19.585902755076514,18.51904523730993
7,18.56855401437729,9.343458884833943
8,17.80066228384928,18.47123786928069
9,21.06527408012661,17.78428140094415
10,17.393555423765246,18.20951183951466
11,19.155676052512835,16.10938427239253
12,17.68154432130257,18.639518170204454
13,19.752261358327612,18.874135251467003
14,17.695085495028067,16.83325775715047
15,19.847023396334848,18.63856251415668
16,18.99777968190781,19.47969789529445
17,19.240435614899074,19.385241611453566
18,19.188464012796263,18.984451147194566
19,17.858357861382956,18.48279241832247
20,20.49941537183718,19.016492106873883
21,17.684184640636236,18.87153358603641
22,20.88706165427107,19.15073507561536
23,19.610050348487245,18.90320890672484
24,17.78599167819172,19.258840339321733
25,18.26441793243513,18.92714272204366
26,18.37464215755934,18.61308389854312
27,14.380302416277486,19.491624990042038
28,18.2650732525657,16.250169469072176
29,20.470753444973706,18.631175123495616
30,18.286992560515532,19.128403795284246
31,17.845788838256443,17.894987266001234
32,18.36660605572886,19.843053626117452
33,18.665674714459367,18.061136117313136
34,18.23693131328701,16.385852736158036
35,17.74161799381887,17.438430994163568
36,19.59702266311748,16.68139667373965
37,18.13815990043453,16.63693930841347
38,17.42326527690486,19.185186319074617
39,17.786633239590515,17.13401020896544
40,19.13570251793439,16.814823191369346
41,15.455217955452133,17.503699250629843
42,13.920105797150406,16.42353233024281
43,15.634102357479986,17.014724283248093
44,18.282979428365618,18.02820150311412
45,14.61885668949091,18.315117467082857
46,18.852992476095608,17.37736463000916
47,14.27739713968937,16.987862244955394
48,17.73377877004202,16.938031695102747
49,18.068393787348963,19.851655678647
50,15.563119639151488,16.299918920141764
51,16.232262482489208,16.50206367168461
52,17.85497046025267,16.85761964807445
53,18.245137310262276,17.02586462964217
54,20.838332097427653,17.123764552822756
55,15.829352098496654,17.423139417745322
56,17.794145828830253,18.019525392092294
57,17.775894442778224,17.15109616901779
58,19.365240566566392,18.760412229726466
59,14.700239799631554,17.118794511339903
60,14.756865595926431,
61,22.142809569306582,
62,18.33326258231017,
63,15.874230831223008,
64,19.171224499633887,
65,14.273560914747453,
66,15.49321788263418,
67,15.847664153591031,
68,15.86087832512463,
69,14.154678546800248,
70,18.98326528669627,
71,15.748030079729812,
72,18.361534578721653,
73,16.36577469836421,
74,18.512311386954895,
75,15.547355372543878,
76,17.294086395857263,
77,19.50376187481936,
78,16.095781733817173,
79,17.915383409019487,
80,14.868809188347768,
81,14.261155823063643,
82,16.046846674185293,
83,15.286121103724865,
84,17.722805534766266,
85,15.615798676046433,
86,19.75284642740985,
87,16.33895563013334,
88,19.940021227900775,
89,20.668885200230413,
90,18.220868567489006,
91,14.651269483915978,
92,15.306165171073758,
93,17.57099957761807,
94,18.13920442970353,
95,14.605018955946447,
96,15.372837453575544,
97,16.495151518006242,
98,16.616010263183522,
99,17.015554646154772,
100,17.48060004902521,
101,18.88671241703491,
102,14.639597495816101,
103,14.118430168520275,
104,16.87695218326803,
105,19.19140485478947,
106,16.892159078793274,
107,16.905956067617847,
108,16.12434617289703,
109,17.575718176207847,
110,18.13695901546102,
111,15.834859793216793,
112,16.77875837200018,
113,16.250103534631826,
114,17.455213931110656,
115,16.636473493192405,
116,17.410277452683545,
117,18.582743384784777,
118,17.122522195458583,
119,18.549205754412455,
120,15.949553437901878,
121,17.603778510691757,
122,17.553814643364856,
123,20.507041744209822,
124,16.922070584280068,
125,19.086722400006412,
126,16.12461575203338,
127,17.379307976721897,
128,17.11263947500384,
129,17.51264771220759,
130,15.693721928181114,
131,16.43965809569358,
132,17.203211725857035,
133,17.90700034089868,
134,16.481064510555274,
135,15.892288054450939,
136,17.221737807729895,
137,15.873514588002106,
138,16.00208471966611,
139,15.939402634735051,
140,15.946849975647455,
141,15.634261156497733,
142,16.538931024062205,
143,16.565621915865425,
144,14.94380798399655,
145,17.281392561213462,
146,17.625138736802896,
147,17.367465283095065,
148,15.825940266979357,
149,17.14102133728177,
150,18.64936200737512,
151,17.94955650753855,
152,15.235555744290195,
153,16.923394711721098,
154,17.097458657747048,
155,16.79279400749377,
156,16.170311430682116,
157,16.347407182603643,
158,19.189587863491806,
159,17.790251115638387,
160,17.065468905641808,
161,14.402074589401556,
162,16.22060698133363,
163,14.512807210628473,
