,6PT0_lig-to-AF_5ZTY,5ZTY_lig-to-AF_5ZTY,6KPF_lig-to-AF_5ZTY,6KPC_lig-to-AF_5ZTY
0,2.4886227260637743,8.69761921904986,1.223023070523455,0.728942051045945
1,5.869949209076033,8.720067764083847,1.0781108816301201,0.7018157019966379
2,4.254673727006331,8.738640134352092,1.2255514449880267,0.7174473530024874
3,2.498228964847054,8.732921521661149,1.1990778647555767,0.6981004214895319
4,8.03977836347904,8.743267801559396,1.2823064321982882,0.7231573997603173
5,5.451889179121345,8.48176959388661,1.2394571365118148,0.7478116924817229
6,8.115679214874541,8.751417558539927,1.0759583344218115,0.5957225997019548
7,5.463312849475622,8.429660354499307,1.2247416469229546,0.5231461698899756
8,5.6086729638296156,8.378909907592545,1.0206402982142109,0.7831724140680911
9,6.856281859422314,8.732057944225176,1.0718573941180727,0.8372204380310256
10,7.625423777733719,8.330386872156904,0.9927773302151761,0.6409994885460059
11,8.331246776555236,8.758957411337873,1.1979101985571112,0.6856236673208936
12,5.440914817896768,1.3929664765522367,1.2951792981056647,0.8098353574041219
13,8.044428082199895,1.209021503691071,1.0731297139491027,0.8985842389367956
14,5.708434484973595,1.240928813551599,1.1470471369404618,0.6074976699559405
15,5.425025229645239,8.510979676088578,1.2751154380573029,0.7870168252927605
16,5.657554509364879,1.4899862608062602,1.0893515003360703,0.7436529877988373
17,5.578473435437263,1.4070576230843244,1.1416053300086406,0.8079011764260009
18,8.315110550040263,1.3708897066928063,1.2309041060074646,1.03001912201105
19,3.6221086922995602,1.348053500186305,1.7542080368493433,1.2925286310141355
20,3.9655863063291945,1.3685068286993811,1.2611291412791894,0.6058435942486908
21,5.893874732228083,8.438084042808374,1.0345823680829729,0.7284882197049564
22,6.159123919861579,8.30402834011344,1.1545199327261824,0.8270717792940684
23,8.380075428636381,8.42043710904303,1.2780361437109073,0.786956145651537
24,6.013921366252805,1.0216938787229444,1.1693219388979232,0.6463859489040473
25,8.187947343702122,8.431530240276695,1.1403531977136698,0.7149865695527382
26,7.996911495371973,8.468389150602725,1.1153270107379054,0.7186101255984509
27,8.130310929886686,1.405391129283347,1.334537894320895,0.6939904226801149
28,5.296425332302973,1.2978162291246984,1.194019988084298,0.6920577828663068
29,5.679960965911513,8.381548173868836,1.0140621057983952,0.7457131205872894
30,,8.775608499098466,1.0137173254253968,0.6447752184125073
31,,1.172795973288688,0.827081927941366,0.8524406199357316
32,,1.0045563211457116,1.1908930823070385,0.7393567451769043
33,,8.170833685945372,1.0954135513504821,0.7387440120033882
34,,8.689526515977347,1.000244182330408,0.6657144568392874
35,,1.3755818454916307,1.1342800071747472,0.8687813825834951
36,,1.2811373076560628,1.1704589103933138,0.780724566240233
37,,8.738597926092089,1.2740448982187693,0.6381153417777516
38,,1.0924455409213323,1.143074875677141,0.8151883563248772
39,,1.0697527011074761,1.0375288939674783,0.7629314914130169
40,,1.2651401248522858,1.166411214452705,0.6724675074029408
41,,1.6972417665713937,1.1503756377884597,0.7338628667306573
42,,1.354276453687177,0.9946667829451639,0.8721137345218739
43,,1.8168437983881238,1.0668033543673263,0.7093229631221453
44,,8.883684769222178,1.0176894633110216,0.6661211977416671
45,,8.431028099400336,1.2562043227207405,0.8507167065813713
46,,8.409042827436215,0.9168760430586733,0.812329725553056
47,,8.498752651962688,1.023477836448723,0.8782919791674031
48,,8.472136691221213,1.2593203016224457,0.9053514843709917
49,,8.503124391846997,1.5037535881338568,1.1779534220085657
50,,8.76685328461288,1.2560565386313567,0.9290517802059219
51,,8.734828103387768,1.3148327435150096,0.9022316512305514
52,,8.804868877403216,1.1601146327527887,0.6499150302978338
53,,8.870635294725973,1.2661143470066878,0.9565017586870649
54,,8.703702050850476,0.9927836956885241,0.702827459861483
55,,8.438926185357708,0.8860566337002428,0.8610709691406362
56,,8.35421521717937,0.9344262473718554,0.6512682144483896
57,,8.43294857921161,1.135805191053906,0.9377591612385494
58,,8.428443316461355,1.1398150478166968,0.7516006851552409
59,,8.757491881348537,1.2726681180929598,0.5626719250124412
60,,8.463223878408431,0.8181716771701695,0.9238990029820767
61,,8.657447962183712,0.9679582888509399,0.7995865871907457
62,,8.730205094020647,1.1212908844933573,0.8989118524677674
63,,8.437569936889162,1.3209490538291933,0.8686612585494753
64,,8.692935591371407,1.1580357928225284,0.7849011507480324
65,,8.693996978167435,1.1804784286780097,0.7428836509092164
66,,8.48791934565023,3.367516470890298,3.2290482295645733
67,,8.65458418650654,3.326308283072728,3.181993816483935
68,,8.728219520254621,1.1418983652910832,0.757519630961241
69,,8.31679554938478,1.4722914243275855,1.1650153590013603
70,,8.229088385033627,1.3229920864509848,0.9178782392821816
71,,8.501903441481195,3.350718638686447,3.2225207280680723
72,,8.41862434195392,3.30412776146735,3.1950503106720047
73,,8.648347790438033,3.33985939214929,3.198087381729003
74,,8.761817818274741,3.3082328174424953,3.207730163613597
75,,8.699086644817255,,
76,,8.517173369368981,,
77,,8.669293571451872,,
78,,8.736706480546879,,
79,,2.112606737939106,,
80,,8.605714953140392,,
81,,2.1878841517817045,,
82,,2.237763312750061,,
